row,column,value,bus_id,stop_id,grey,day,pax,pax_type,pax_round,pax_floor
525,244.024,#E4F0FF,14,14,249.3,Mon,0.644067796610166,boarding,1,0
550,244.024,#C4DAF2,14,15,232.6,Mon,2.53107344632769,boarding,3,2
575,244.024,#F9FAFE,14,16,252.7,Mon,0.259887005649716,boarding,0,0
600,244.024,#CEEEF9,14,17,242.5,Mon,1.41242937853107,boarding,1,1
625,244.024,#F7FAFF,14,18,253.2,Mon,0.203389830508474,boarding,0,0
650,244.024,#CFECFC,14,19,244.3,Mon,1.2090395480226,boarding,1,1
675,244.024,#C9D7F2,14,20,232.5,Mon,2.54237288135593,boarding,3,2
700,244.024,#DBE5EF,14,21,235,Mon,2.25988700564972,boarding,2,2
725,244.024,#A4CDE3,14,22,216.3,Mon,4.3728813559322,boarding,4,4
200,246.872,#F7FAFF,15,1,253.2,Mon,0.203389830508474,boarding,0,0
225,246.872,#F7FAFF,15,2,253.2,Mon,0.203389830508474,boarding,0,0
250,246.872,#F7FAFF,15,3,253.2,Mon,0.203389830508474,boarding,0,0
275,246.872,#D2E0ED,15,4,231.7,Mon,2.63276836158192,boarding,3,2
300,246.872,#EFF3FC,15,5,248.9,Mon,0.689265536723163,boarding,1,0
325,246.872,#F7FAFF,15,6,253.2,Mon,0.203389830508474,boarding,0,0
350,246.872,#F9FCFF,15,7,253.8,Mon,0.135593220338979,boarding,0,0
375,246.872,#F7FAFF,15,8,253.2,Mon,0.203389830508474,boarding,0,0
400,246.872,#F1F8FE,15,9,251.5,Mon,0.395480225988699,boarding,0,0
425,246.872,#D8E8F7,15,10,240.9,Mon,1.59322033898305,boarding,2,1
450,246.872,#93C1E2,15,11,211.5,Mon,4.91525423728814,boarding,5,4
475,246.872,#BCD6EF,15,12,228.9,Mon,2.94915254237288,boarding,3,2
500,246.872,#E7EBF7,15,13,243,Mon,1.35593220338983,boarding,1,1
525,246.872,#D8E7EE,15,14,234.4,Mon,2.32768361581921,boarding,2,2
550,246.872,#D1E1F0,15,15,233.9,Mon,2.38418079096045,boarding,2,2
575,246.872,#F7FAFF,15,16,253.2,Mon,0.203389830508474,boarding,0,0
600,246.872,#B7D1F4,15,17,230.9,Mon,2.72316384180791,boarding,3,2
625,246.872,#F7FAFF,15,18,253.2,Mon,0.203389830508474,boarding,0,0
650,246.872,#D8EAF6,15,19,240.6,Mon,1.6271186440678,boarding,2,1
675,246.872,#E2EFFF,15,20,248.9,Mon,0.689265536723163,boarding,1,0
700,246.872,#F8FDFF,15,21,253.9,Mon,0.12429378531073,boarding,0,0
725,246.872,#D9ECFB,15,22,244.6,Mon,1.17514124293785,boarding,1,1
200,249.72,#F7FAFF,16,1,253.2,Mon,0.203389830508474,boarding,0,0
225,249.72,#F7FAFF,16,2,253.2,Mon,0.203389830508474,boarding,0,0
